air_pressure_at_mean_sea_level_Pa_,air_temperature_K_,sea_surface_wave_mean_period_s_,sea_surface_wave_significant_height_m_,sea_surface_wave_from_direction_degree_,wind_from_direction_degree_,wind_speed_of_gust_mS_1_,wind_speed_mS_1_,eastward_sea_water_velocity_1_mS_1_,northward_sea_water_velocity_1_mS_1_,sea_water_temperature_1_K_,eastward_sea_water_velocity_2_mS_1_,northward_sea_water_velocity_2_mS_1_,sea_water_temperature_2_K_,eastward_sea_water_velocity_3_mS_1_,northward_sea_water_velocity_3_mS_1_,sea_water_temperature_3_K_,eastward_sea_water_velocity_4_mS_1_,northward_sea_water_velocity_4_mS_1_,sea_water_temperature_4_K_,eastward_sea_water_velocity_5_mS_1_,northward_sea_water_velocity_5_mS_1_,sea_water_temperature_5_K_,eastward_sea_water_velocity_6_mS_1_,northward_sea_water_velocity_6_mS_1_,sea_water_temperature_6_K_,eastward_sea_water_velocity_7_mS_1_,northward_sea_water_velocity_7_mS_1_,sea_water_temperature_7_K_,eastward_sea_water_velocity_8_mS_1_,northward_sea_water_velocity_8_mS_1_,sea_water_temperature_8_K_,sea_water_temperature_9_K_,total_water_velocity_1,total_water_velocity_2,total_water_velocity_3,total_water_velocity_4,total_water_velocity_5,total_water_velocity_6,total_water_velocity_7,total_water_velocity_8,total_water_direction_1,total_water_direction_2,total_water_direction_3,total_water_direction_4,total_water_direction_5,total_water_direction_6,total_water_direction_7,total_water_direction_8,time_converted,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,time_str,image_file_names,Time,Wave Height (meters),Wave Category,Marker
100951.5,280.996,1.22,0.1,22.7,211.6,4.58,2.971,0.0156102,0.05199976,279.208648,0.007429864,0.04299994,279.191132,0.00581718,0.03299995,279.219116,0.0,0.077,279.168579,-0.0175239,0.01639857,279.111328,0.01562727,0.04538489,279.150696,0.09320354,0.03028366,279.007202,0.01564776,0.1863442,278.865417,278.73999,0.0542922958079468,0.0436371140093166,0.0335087493522945,0.077,0.0240000035261434,0.0479999979996353,0.0979999996506489,0.1870000354723431,73.29037268625285,80.19678521229918,80.00269684240921,90.0,136.90000973569786,71.00000096284981,17.999996716812504,85.19999989896203,2023-05-19 06:40:00,177.0,7.1,8.0,0.35,2.6,2.46,190.0,1016.0,6.6,4.3,3.9,99.0,99.0,2023_5_19_6:40:00,2023_5_19_6:40:00.png,2023-05-19 06:40:00,0.1,Low,green
100906.2,280.422,1.12,0.1,22.68,200.1,4.73,2.519,0.009948359,0.02999984,278.976929,0.003965388,0.03199997,278.968628,0.03932562,0.0859991,278.997131,0.02796988,0.06525861,278.967956,-0.05627715,-0.01403147,278.980865,0.00522643,0.03157031,279.04892,-0.03562827,0.01586275,278.967682,0.002512126,0.04793422,278.970764,278.971436,0.0316063323848003,0.0322447264214079,0.0945639973203036,0.0710000025799048,0.057999997952443,0.0320000006881406,0.03900000590712,0.0480000023338361,71.65377001460234,82.93600432027281,65.42635625839064,66.79999701248757,-165.99999943946648,80.60000164085942,155.999970221152,87.00000002606335,2023-05-19 07:40:00,172.0,5.9,7.2,0.42,2.74,2.7,186.0,1015.2,6.2,4.3,3.6,99.0,99.0,2023_5_19_7:40:00,2023_5_19_7:40:00.png,2023-05-19 07:40:00,0.1,Low,green
100817.0,280.77,1.22,0.14,17.95,208.9,6.95,4.407,0.02813457,0.05199924,278.806488,0.02210457,0.08499971,278.788849,0.01937314,0.07499975,278.814056,0.01473848,0.1090082,278.789276,0.0163609,0.04724745,278.82492,0.01388207,0.02546151,278.907013,0.01110617,0.06708691,278.848724,0.006685453,0.02512578,278.855224,278.863342,0.0591225421447902,0.0878268906142589,0.0774614810955877,0.1100000475452188,0.0500000058031246,0.029000006189051,0.0680000037163013,0.0260000019696847,61.58407091568266,75.42285078916197,75.51655224017516,82.30000355649393,70.89999617745765,61.39999289566831,80.59999661743653,75.10000029300923,2023-05-19 08:40:00,166.0,5.7,6.9,0.4,2.94,2.62,172.0,1015.2,5.8,4.2,3.6,99.0,99.0,2023_5_19_8:40:00,2023_5_19_8:40:00.png,2023-05-19 08:40:00,0.14,Low,green
100798.2,280.649001,1.12,0.12,19.27,201.7,6.23,3.797,0.0009913461,0.003999988,278.74234,0.02080256,0.08699975,278.730682,0.01913226,0.05399966,278.760376,0.0,0.058,278.730652,0.01168295,-0.002740211,278.747345,0.007975805,0.01387035,278.819122,0.02692073,0.02390134,278.759155,0.02209542,-0.06642132,278.768677,278.767883,0.0041210036508269,0.0894522386674369,0.0572888004135467,0.058,0.0120000032094587,0.0160000023287662,0.0359999966323401,0.0699999952537055,76.08044199561361,76.55246144060303,70.49059366411655,90.0,-13.199999145632686,60.09999998728826,41.59999697863825,-71.60000956474958,2023-05-19 09:40:00,169.0,6.1,7.9,0.47,3.13,2.89,173.0,1014.8,6.3,4.2,3.2,99.0,99.0,2023_5_19_9:40:00,2023_5_19_9:40:00.png,2023-05-19 09:40:00,0.12,Low,green
100773.9,281.4,1.19,0.13,17.8,198.2,6.29,4.454,0.005756085,0.0169999,278.730102,0.009159481,0.0409999,278.715149,0.01813045,0.05299969,278.738037,0.1347624,-0.008006382,278.71048,-0.06321393,-0.0654599,278.72229,0.02205925,-0.009454606,278.796417,0.03681763,0.02409278,278.734772,0.0435256,0.04554693,278.74115,278.745361,0.0179479557202826,0.0420105688154702,0.0560150011809211,0.1350000244684789,0.0909999970003016,0.0240000017745361,0.0439999991698329,0.06300000545861,71.29414497196763,77.40676471701138,71.11490258571564,-3.4000085525941053,-134.00001783121064,-23.19999862535592,33.1999978538326,46.29999455194251,2023-05-19 10:40:00,174.0,7.0,8.1,0.58,3.23,3.03,172.0,1014.7,6.5,4.2,3.5,99.0,99.0,2023_5_19_10:40:00,2023_5_19_10:40:00.png,2023-05-19 10:40:00,0.13,Low,green
100779.1,282.709999,1.14,0.13,20.79,203.3,6.08,3.353,0.01047196,0.02999982,278.66159,0.005864302,0.02799994,278.639435,0.0003560472,0.002999998,278.661987,0.04911988,0.088251,278.630951,0.04513838,0.1068575,278.64679,0.01388856,0.04175054,278.720276,0.04791293,0.03442893,278.656891,0.0618246,0.06402124,278.663147,278.671509,0.0317750082025795,0.0286074584322131,0.0030210524008417,0.101000007981259,0.1159999942037688,0.0439999964677862,0.0590000006960152,0.0890000018893123,70.75756891132453,78.17096541399702,83.23165492983364,60.89999824987966,67.099997834233,71.59999521155197,35.69999775642379,45.99999667372089,2023-05-19 11:40:00,162.0,6.6,7.9,0.53,3.57,3.09,163.0,1014.8,6.2,4.2,3.9,99.0,99.0,2023_5_19_11:40:00,2023_5_19_11:40:00.png,2023-05-19 11:40:00,0.13,Low,green
100786.9,284.29,2.5,0.1,23.61,148.3,2.23,1.184,0.009161217,0.02899985,278.648956,0.01095717,0.07299992,278.610962,0.01070233,0.0279998,278.628601,0.1044641,0.06680756,278.588623,-0.007925364,0.05240409,278.603119,0.01913495,0.01276142,278.677276,0.02777612,0.01133522,278.61026,-0.0009790746,0.0509906,278.616364,278.62384,0.0304124842284149,0.073817666546805,0.0299754677606355,0.1239999929917885,0.0530000004081188,0.0230000033025845,0.0300000009117133,0.0509999987787486,72.46837805718408,81.46372154148499,69.08170398271501,32.59999255994087,98.59998987174424,33.69998902970893,22.199991854041148,91.10000568687992,2023-05-19 12:40:00,162.0,7.4,8.7,0.5,3.45,3.01,172.0,1014.3,6.2,4.2,4.1,99.0,99.0,2023_5_19_12:40:00,2023_5_19_12:40:00.png,2023-05-19 12:40:00,0.1,Low,green
100726.6,287.75,1.74,0.24,23.08,257.5,7.900001,4.295,0.00752585,0.0279999,278.632812,0.007504913,0.04299994,278.609894,0.01429424,0.09099989,278.622711,0.08319542,0.05548444,278.6008,0.03174391,0.09271636,278.610168,0.009432041,0.03990033,278.678436,0.1229933,-0.00128803,278.606537,0.02095855,-0.006688725,278.605743,278.590179,0.0289936685887195,0.0436499548584092,0.0921157167761815,0.1000000049554498,0.0979999960904983,0.0409999967260313,0.1230000441714185,0.0219999968233662,74.95552579959728,80.09971280935119,81.07293855325457,33.699996216132824,71.09999735328033,76.69999636919601,-0.6000000424609119,-17.699996242276487,2023-05-19 13:40:00,161.0,7.0,8.3,0.59,3.33,3.08,178.0,1013.9,6.2,4.2,4.5,99.0,99.0,2023_5_19_13:40:00,2023_5_19_13:40:00.png,2023-05-19 13:40:00,0.24,Low,green
100657.9,288.24,2.42,0.34,23.08,259.8,8.12,4.971,0.01127657,0.09099993,278.599121,0.03716494,0.09099924,278.5755,0.0599936,0.1019982,278.586365,0.0439325,0.05830039,278.54599,0.09349326,-0.0325578,278.55957,0.03575414,-0.004200147,278.632507,0.0599122,0.003244723,278.569397,0.02929931,0.02574007,278.579803,278.580932,0.09169595569582,0.0982959533540481,0.1183337012190525,0.0730000002082335,0.0990000000316545,0.0359999966939055,0.0599999994682227,0.039000009872832,82.9360068146354,67.78443665341125,59.536684158367,52.9999968702932,-19.200001202666968,-6.700001362357482,3.0999945007934544,41.29999693653527,2023-05-19 14:40:00,165.0,7.4,8.7,0.61,3.33,3.09,170.0,1013.6,6.3,4.2,4.6,99.0,99.0,2023_5_19_14:40:00,2023_5_19_14:40:00.png,2023-05-19 14:40:00,0.34,Low,green
100624.0,288.41,2.46,0.4,22.98,272.8,9.13,4.923,0.01351408,0.0889999,278.634918,0.05817684,0.1229986,278.61142,0.02441011,0.06299952,278.632904,0.09124567,0.08689205,278.602508,0.1148627,0.005617736,278.610687,0.09316913,0.03632513,278.683746,0.06900375,0.06234967,278.623077,0.02881332,0.04208078,278.628998,278.631958,0.0900200675308367,0.1360632217549827,0.0675632517752254,0.1260000025672674,0.1149999948219811,0.1000000092723685,0.092999993888018,0.0509999946552036,81.36594701910585,64.68642091729416,68.82039329052732,43.59999103246584,2.800006348203923,21.30000220434477,42.09999878312624,55.59999204169639,2023-05-19 15:40:00,167.0,6.2,7.3,0.63,3.85,3.3,173.0,1013.6,6.2,4.3,5.0,99.0,99.0,2023_5_19_15:40:00,2023_5_19_15:40:00.png,2023-05-19 15:40:00,0.4,Low,green
